Cidade,Estado,População total estimada do município,Taxa de homicídios,Soluções em monitoramento para a segurança pública,Políticas públicas e ações para segurança pública,Urbanização vias públicas,Soluções para telegestão da iluminação pública,Taxa de analfabetismo,Geração de trabalho e renda no município,Índice de desenvolvimento humano do município (IDH-M),Pesquisas de satisfação/ Monitoramento da percepção de qualidade,Score_Seguranca
Poços de Caldas,MG,167397,5.46,1.0,8,99.28,0.0,3.41,5,0.779,4.0,77.86383551084165
Botucatu,SP,146497,4.25,1.0,8,92.97,0.0,4.01,5,0.8,4.0,77.80567892170875
Maringá,PR,423666,10.42,1.0,8,97.74,0.0,3.02,5,0.808,4.0,77.66170843441053
Sorocaba,SP,679378,13.64,4.0,5,94.34,0.0,2.87,3,0.798,4.0,77.29077648193237
Blumenau,SC,357199,9.31,5.0,6,80.43,0.0,1.73,0,0.806,4.0,76.9260000751031
Guarulhos,SP,1379182,15.11,1.0,9,90.28,0.0,3.85,5,0.763,4.0,76.20549618869268
Santos,SP,433311,5.99,1.0,5,98.28,0.0,2.16,5,0.84,4.0,75.85829068406306
Rio de Janeiro,RJ,6718903,25.82,1.0,9,91.61,0.0,2.75,5,0.799,4.0,75.67448664846219
Ribeirão Preto,SP,703293,12.31,1.0,6,98.52,0.0,2.98,5,0.8,4.0,75.06169275940827
São Bernardo do Campo,SP,838936,4.74,1.0,5,94.23,0.0,2.94,5,0.805,4.0,74.75691788329291
São Carlos,SP,251983,15.18,1.0,6,97.57,0.0,3.39,5,0.805,4.0,74.60450930669779
Santa Rosa,RS,73254,8.28,1.0,6,93.88,0.0,3.38,5,0.769,4.0,74.4457302567932
São Caetano do Sul,SP,161127,5.67,1.0,3,99.9,0.0,1.47,5,0.862,4.0,74.42004536294371
Alfenas,MG,79996,8.84,1.0,6,98.42,0.0,5.66,5,0.761,4.0,74.40022310918057
Limeira,SP,306114,6.03,1.0,6,99.12,0.0,4.01,4,0.775,4.0,74.3851132844928
Taubaté,SP,314924,18.02,1.0,6,98.33,0.0,2.83,5,0.8,4.0,74.20688976856904
São Paulo,SP,12252023,10.14,1.0,5,96.37,0.0,3.12,5,0.805,4.0,74.15134905230241
Bauru,SP,376818,8.66,1.0,6,82.68,0.0,3.0,5,0.801,4.0,74.00328958713553
São José dos Campos,SP,721944,12.36,1.0,5,95.91,0.0,2.88,5,0.807,4.0,73.84417114448551
Balneário Camboriú,SC,142295,7.59,1.0,5,98.33,0.0,1.28,3,0.845,4.0,73.83274524535909
Uberlândia,MG,691305,18.52,1.0,6,96.86,0.0,3.65,5,0.789,4.0,73.64510146984827
Americana,SP,239597,9.93,1.0,5,98.35,0.0,2.64,4,0.811,4.0,73.57269740468884
Guaxupé,MG,51917,5.76,1.0,5,97.25,0.0,6.11,5,0.751,4.0,73.35459227771285
Santo André,SP,718773,10.1,1.0,5,95.62,0.0,2.88,4,0.815,4.0,73.33168987802352
Matão,SP,83170,3.66,1.0,4,99.14,0.0,5.58,5,0.773,4.0,73.30325793008632
Varginha,MG,135558,6.0,1.0,5,98.69,0.0,4.23,4,0.778,4.0,73.27814670735559
Olímpia,SP,54772,3.72,1.0,4,98.09,0.0,4.87,5,0.773,4.0,73.26363966071716
Nova Lima,MG,94889,15.37,1.0,5,92.25,0.0,2.93,5,0.813,4.0,73.14994158257018
São João da Boa Vista,SP,91211,2.23,1.0,3,98.74,0.0,3.75,5,0.797,4.0,73.10323520803391
Caxias do Sul,RS,510906,32.76,1.0,8,90.37,0.0,2.3,5,0.782,4.0,73.0671580993575
Ribeirão Pires,SP,123393,9.08,1.0,5,88.74,0.0,3.23,5,0.784,4.0,73.04270362629761
São José do Rio Preto,SP,460671,9.18,1.0,4,95.96,0.0,3.01,5,0.797,4.0,72.97313660284867
Rio Claro,SP,206424,18.86,1.0,5,96.08,0.0,3.3,5,0.803,4.0,72.75659193258221
Santa Bárbara d'Oeste,SP,193475,10.99,1.0,5,99.21,0.0,3.87,4,0.781,4.0,72.69379679843696
Santana de Parnaíba,SP,139447,3.87,1.0,4,91.57,0.0,4.12,4,0.814,4.0,72.57784772763934
Vinhedo,SP,78728,1.35,1.0,3,95.71,0.0,2.79,4,0.817,4.0,72.4784542374935
Araras,SP,134236,11.53,1.0,4,99.24,0.0,4.38,5,0.781,4.0,72.44996997137125
Mauá,SP,472912,7.21,1.0,5,94.1,0.0,3.9,4,0.766,4.0,72.39283584450887
Araraquara,SP,236072,10.06,1.0,3,98.69,0.0,3.31,5,0.815,4.0,72.38342742236799
Cotia,SP,249210,9.41,1.0,6,83.04,0.0,4.2,4,0.78,4.0,72.32534036535263
Florianópolis,SC,500973,17.16,1.0,5,87.9,0.0,1.93,4,0.847,4.0,72.31134805488274
Diadema,SP,423884,13.73,1.0,5,93.96,0.0,4.12,5,0.757,4.0,72.17956415754766
Franco da Rocha,SP,154489,11.51,1.0,6,86.41,0.0,5.44,5,0.731,4.0,72.11952206741583
Vitória,ES,362097,17.24,1.0,3,98.98,0.0,2.46,5,0.845,4.0,72.11009042528838
Ijuí,RS,83475,1.2,1.0,3,91.03,0.0,3.99,5,0.781,4.0,72.0804461487704
Mococa,SP,68885,2.9,1.0,4,97.59,0.0,5.59,4,0.762,4.0,72.00894484259834
Suzano,SP,297637,11.11,1.0,5,87.53,0.0,4.89,5,0.765,4.0,72.0081865796335
Franca,SP,353187,8.7,1.0,5,98.22,0.0,3.04,3,0.78,4.0,72.0012825064991
Barretos,SP,122098,7.5,1.0,3,97.67,0.0,4.27,5,0.789,4.0,71.97111075260375
Campinas,SP,1204073,13.12,1.0,5,89.23,0.0,3.22,4,0.805,4.0,71.96444750145153
Monte Alto,SP,50498,2.01,1.0,3,95.16,0.0,5.42,5,0.768,4.0,71.93512008148537
Itabira,MG,120060,21.94,1.0,6,93.97,0.0,5.96,5,0.756,4.0,71.84539422462373
Votuporanga,SP,94547,8.69,1.0,3,98.61,0.0,5.13,5,0.79,4.0,71.81930447671641
Curitiba,PR,1933105,29.41,1.0,5,94.25,0.0,2.09,5,0.823,4.0,71.57719830393995
Marília,SP,238882,11.98,1.0,3,97.72,0.0,4.01,5,0.798,4.0,71.53896208969415
Montes Claros,MG,409341,18.33,1.0,6,82.05,0.0,6.15,5,0.77,4.0,71.45708057354017
Itajaí,SC,219536,22.97,1.0,5,90.51,0.0,2.94,5,0.795,4.0,71.43169747065929
Caieiras,SP,101470,4.12,1.0,3,98.42,0.0,3.81,4,0.781,4.0,71.42171087203626
Rio do Sul,SC,71061,4.4,1.0,6,69.96,0.0,3.01,3,0.802,4.0,71.3566496708827
Ouro Preto,MG,74281,6.72,1.0,4,90.0,0.0,4.07,5,0.741,4.0,71.35319669020043
Batatais,SP,62508,8.19,1.0,3,98.94,0.0,4.45,5,0.761,4.0,71.34820869641152
Barueri,SP,274182,12.08,1.0,3,98.53,0.0,4.11,5,0.786,4.0,71.32594396530092
Araxá,MG,106229,10.65,1.0,3,99.13,0.0,4.23,5,0.772,4.0,71.27237840818917
Itatiba,SP,120858,9.57,1.0,3,95.23,0.0,3.49,5,0.778,4.0,71.24912617508606
Itapira,SP,74773,8.17,1.0,3,98.61,0.0,5.51,5,0.762,4.0,71.22505616037245
São Vicente,SP,365798,12.01,1.0,4,90.28,0.0,3.98,5,0.768,4.0,71.21080042440715
Penápolis,SP,63407,8.01,1.0,3,98.29,0.0,5.36,5,0.759,4.0,71.16481198273449
Belo Horizonte,MG,2512070,24.79,1.0,4,97.89,0.0,2.8,5,0.81,4.0,71.1583837098208
São José do Rio Pardo,SP,54946,3.67,1.0,3,97.76,0.0,4.8,4,0.774,4.0,71.15627706007625
Passos,MG,114679,5.27,1.0,3,94.64,0.0,5.28,5,0.756,4.0,71.14053962765809
Juiz de Fora,MG,568873,26.62,1.0,5,96.67,0.0,3.31,5,0.778,4.0,71.09558185315512
Pirassununga,SP,76409,2.67,1.0,3,97.96,0.0,3.69,3,0.801,4.0,71.05427834636819
Itajubá,MG,96869,12.43,1.0,3,96.06,0.0,4.01,5,0.787,4.0,71.05400228246337
Capivari,SP,55768,0.0,1.0,3,85.88,0.0,4.32,5,0.75,4.0,70.99774407140522
Mirassol,SP,59824,10.29,1.0,3,97.88,0.0,4.1,5,0.762,4.0,70.98684092709975
Viçosa,MG,78846,38.53,1.0,7,93.9,0.0,5.19,5,0.775,4.0,70.9864638014648
Jundiaí,SP,418962,6.9,1.0,6,94.18,0.0,2.88,0,0.822,4.0,70.93014815577749
Araguari,MG,117267,15.4,1.0,4,91.92,0.0,4.89,5,0.773,4.0,70.88728942364685
Catanduva,SP,121862,6.66,1.0,3,97.09,0.0,4.82,4,0.785,4.0,70.88727701750287
Embu das Artes,SP,273726,9.45,1.0,4,91.15,0.0,4.77,5,0.735,4.0,70.85291168245531
Ibitinga,SP,60033,8.59,1.0,3,98.75,0.0,5.72,5,0.747,4.0,70.81617367223832
Campo Belo,MG,54029,16.58,1.0,6,98.07,0.0,8.42,4,0.711,4.0,70.78486991223481
Birigui,SP,123638,9.2,1.0,3,90.69,0.0,4.51,5,0.78,4.0,70.77363193525827
Lençóis Paulista,SP,68432,6.0,1.0,4,98.37,0.0,4.99,3,0.764,4.0,70.73658984101077
Tatuí,SP,121766,3.39,1.0,3,97.62,0.0,4.44,4,0.752,4.0,70.72719807367336
Santa Maria,RS,282123,24.88,1.0,6,77.3,0.0,3.22,5,0.784,4.0,70.62624670124195
Porto Feliz,SP,53098,9.57,1.0,3,94.83,0.0,5.1,5,0.758,4.0,70.58325671590771
Lins,SP,78013,20.9,1.0,4,93.26,0.0,4.21,5,0.786,4.0,70.57079827905125
Osasco,SP,698418,14.79,1.0,3,96.44,0.0,3.61,5,0.776,4.0,70.53656125713675
Indaiatuba,SP,251627,2.97,1.0,3,95.42,0.0,3.15,3,0.788,4.0,70.51497608403548
Bebedouro,SP,77496,10.3,1.0,3,99.37,0.0,4.6,4,0.78,4.0,70.4892633368645
Fernandópolis,SP,69116,2.92,1.0,3,95.04,0.0,5.57,3,0.797,4.0,70.42400881787982
Jandira,SP,124937,6.66,1.0,3,97.17,0.0,4.09,4,0.76,4.0,70.41150143982568
Patos de Minas,MG,152488,14.01,1.0,3,97.94,0.0,4.99,5,0.765,4.0,70.40933394068836
Registro,SP,56322,8.87,1.0,4,82.44,0.0,5.43,5,0.754,4.0,70.40332494012505
Resende,RJ,131341,32.52,1.0,6,90.7,0.0,4.13,5,0.768,4.0,70.40096240049347
Formiga,MG,67683,8.79,1.0,3,94.08,0.0,6.62,5,0.755,4.0,70.39048523951044
Petrópolis,RJ,306191,8.05,1.0,3,92.06,0.0,3.88,5,0.745,4.0,70.36549271240051
Taboão da Serra,SP,289664,14.13,1.0,3,95.25,0.0,3.77,5,0.769,4.0,70.33806200562908
Volta Redonda,RJ,273012,25.79,1.0,5,98.93,0.0,3.13,4,0.771,4.0,70.31279250561903
Jaguariúna,SP,57488,3.77,1.0,3,96.7,0.0,4.31,3,0.784,4.0,70.3110584310311
Itu,SP,173939,8.89,1.0,3,97.03,0.0,4.52,4,0.773,4.0,70.31078074967562
Pouso Alegre,MG,150737,14.43,1.0,3,94.41,0.0,3.88,5,0.774,4.0,70.30794078953315
Praia Grande,SP,325073,9.52,1.0,3,91.71,0.0,3.99,5,0.754,4.0,70.30117872236279
Carapicuíba,SP,400927,10.14,1.0,3,94.27,0.0,4.52,5,0.749,4.0,70.30100028003973
Itaperuna,RJ,103224,12.06,1.0,5,82.08,0.0,7.01,5,0.73,4.0,70.29007133492608
Ipatinga,MG,263410,16.2,1.0,3,98.28,0.0,4.66,5,0.771,4.0,70.28844672538816
Passo Fundo,RS,203275,21.23,1.0,5,90.89,0.0,3.34,4,0.776,4.0,70.25887331481289
Leme,SP,103391,12.96,1.0,4,99.66,0.0,6.58,4,0.744,4.0,70.20805150593664
Boituva,SP,60997,7.04,1.0,3,92.6,0.0,5.46,4,0.78,4.0,70.18856425320288
Cruzeiro,SP,82238,8.6,1.0,3,90.18,0.0,2.74,4,0.788,4.0,70.18280219519495
Francisco Beltrão,PR,91093,16.0,1.0,3,96.81,0.0,5.25,5,0.774,4.0,70.17128996262736
Cataguases,MG,75123,10.72,1.0,3,93.54,0.0,5.52,5,0.751,4.0,70.0763994500364
Umuarama,PR,111557,12.83,1.0,3,94.81,0.0,6.05,5,0.761,4.0,70.05965568314667
Paulínia,SP,109424,14.98,1.0,3,96.92,0.0,3.22,4,0.795,4.0,70.02759161538886
Votorantim,SP,122480,15.99,1.0,3,95.07,0.0,3.49,5,0.767,4.0,70.02750929772857
Itapeva,SP,94354,8.59,1.0,3,94.01,0.0,5.71,5,0.732,4.0,69.99371375540615
Lages,SC,157544,13.87,1.0,6,59.92,0.0,4.91,5,0.77,4.0,69.98893579863089
Chapecó,SC,220367,22.43,1.0,5,78.07,0.0,4.51,5,0.79,4.0,69.95480177621405
Cascavel,PR,328454,27.83,1.0,5,86.52,0.0,4.04,5,0.782,4.0,69.88605794191875
Niterói,RJ,513584,31.13,1.0,5,86.62,0.0,2.28,4,0.837,4.0,69.83356665267917
Assis,SP,104386,2.93,1.0,0,98.6,0.0,3.8,5,0.805,4.0,69.82592172722684
Itapetininga,SP,163901,7.57,1.0,3,92.18,0.0,4.36,4,0.763,4.0,69.80277696760648
Bagé,RS,121143,13.94,1.0,8,42.94,0.0,5.15,5,0.74,4.0,69.75910806046869
Campo Limpo Paulista,SP,84650,7.34,1.0,3,89.18,0.0,4.22,4,0.769,4.0,69.67997351573877
Irati,PR,60727,13.32,1.0,6,65.34,0.0,4.65,5,0.726,4.0,69.66352518415275
São Bento do Sul,SC,84507,4.88,1.0,5,49.58,0.0,2.75,5,0.782,4.0,69.6633415595438
Sertãozinho,SP,125815,5.77,1.0,3,99.17,0.0,5.17,3,0.761,4.0,69.65468717774587
Piracicaba,SP,404142,10.4,1.0,3,97.93,0.0,2.93,3,0.785,4.0,69.62033766638434
Itabirito,MG,51875,11.93,1.0,3,93.16,0.0,3.71,5,0.73,4.0,69.58012923953872
Bragança Paulista,SP,168668,8.0,1.0,3,96.55,0.0,4.43,3,0.776,4.0,69.47164769802954
Venâncio Aires,RS,71554,14.25,1.0,6,68.19,0.0,4.94,5,0.712,4.0,69.47012919684683
Concórdia,SC,74641,5.46,1.0,3,76.55,0.0,3.59,4,0.8,4.0,69.4326192199184
Londrina,PR,569733,23.49,1.0,3,98.36,0.0,4.18,5,0.778,4.0,69.41908112030433
Cubatão,SP,130705,10.17,1.0,3,98.97,0.0,5.6,4,0.737,4.0,69.39085280335355
Pará de Minas,MG,93969,22.83,1.0,4,97.48,0.0,3.85,5,0.725,4.0,69.3805102509338
São Sebastião do Paraíso,MG,70956,9.99,1.0,3,93.36,0.0,6.75,5,0.722,4.0,69.3804123340533
Valença,RJ,76523,10.81,1.0,3,89.19,0.0,5.9,5,0.738,4.0,69.28327163528637
Arapongas,PR,123027,20.52,1.0,3,99.58,0.0,4.62,5,0.748,4.0,69.26369119684911
Poá,SP,117452,17.44,1.0,3,98.05,0.0,3.07,4,0.771,4.0,69.25221041794782
Artur Nogueira,SP,54408,13.69,1.0,3,90.52,0.0,5.86,5,0.749,4.0,69.24211648294283
São João del Rei,MG,90082,21.15,1.0,5,93.61,0.0,3.52,3,0.758,4.0,69.12461450621637
Porto Ferreira,SP,56150,14.52,1.0,3,88.91,0.0,4.95,5,0.751,4.0,69.096991577255
Itupeva,SP,61252,5.4,1.0,3,91.62,0.0,4.64,3,0.762,4.0,69.01616783517319
Conselheiro Lafaiete,MG,128589,16.61,1.0,3,96.71,0.0,3.09,4,0.761,4.0,69.01129477532237
Itaquaquecetuba,SP,370821,17.1,1.0,6,76.74,0.0,5.39,4,0.714,4.0,68.91748766269559
Hortolândia,SP,230851,13.7,1.0,3,83.87,0.0,4.41,5,0.756,4.0,68.87395689589539
Foz do Iguaçu,PR,258532,37.51,1.0,6,97.8,0.0,5.57,4,0.751,4.0,68.84539520057041
Ferraz de Vasconcelos,SP,194276,12.85,1.0,3,95.15,0.0,4.72,4,0.738,4.0,68.71758985654658
Itaúna,MG,93214,19.55,1.0,3,99.5,0.0,3.79,4,0.758,4.0,68.71530809704348
Taquaritinga,SP,57177,8.81,1.0,3,98.76,0.0,6.58,3,0.748,4.0,68.7137358229521
Santo Ângelo,RS,77593,16.45,1.0,3,92.17,0.0,4.15,4,0.772,4.0,68.70285030049791
Ituiutaba,MG,104671,15.39,1.0,3,92.25,0.0,8.26,5,0.739,4.0,68.68060511987987
Campo Bom,RS,66712,23.24,1.0,4,95.06,0.0,2.87,4,0.745,4.0,68.62801289502292
Três Rios,RJ,81804,13.88,1.0,3,89.5,0.0,5.48,5,0.725,4.0,68.60989067612906
Guarapuava,PR,181504,28.45,1.0,6,77.03,0.0,5.82,5,0.731,4.0,68.59076896274512
Estância Velha,RS,50022,8.53,1.0,3,90.92,0.0,2.83,3,0.757,4.0,68.56112037350684
Mogi das Cruzes,SP,445842,10.02,1.0,3,87.92,0.0,3.71,3,0.783,4.0,68.52173864705223
Joinville,SC,590466,24.4,1.0,5,60.2,0.0,2.2,5,0.809,4.0,68.5080659919932
Mongaguá,SP,56702,13.11,1.0,3,79.43,0.0,4.01,5,0.754,4.0,68.50527630711493
Tubarão,SC,105686,9.65,1.0,3,64.72,0.0,3.61,5,0.796,4.0,68.50325444440315
Anápolis,GO,386923,55.54,1.0,8,91.73,0.0,5.28,5,0.737,4.0,68.47275069469953
Itapevi,SP,237700,11.48,1.0,3,82.79,0.0,5.85,5,0.735,4.0,68.46539298795662
Montenegro,RS,65264,15.74,1.0,3,82.26,0.0,3.74,5,0.755,4.0,68.45480375911644
Pindamonhangaba,SP,168328,20.33,1.0,3,94.55,0.0,3.76,4,0.773,4.0,68.43284348721502
Teresópolis,RJ,182594,10.88,1.0,3,82.94,0.0,6.5,5,0.73,4.0,68.38721181950152
Prudentópolis,PR,52241,9.64,1.0,4,82.27,0.0,6.7,5,0.676,4.0,68.37671634103975
São José dos Pinhais,PR,323340,44.59,1.0,6,89.73,0.0,3.28,5,0.758,4.0,68.3683219638329
Valinhos,SP,129193,2.46,1.0,3,95.6,0.0,2.96,0,0.819,4.0,68.32826486300546
Piedade,SP,55348,9.11,1.0,4,72.83,0.0,7.42,5,0.716,4.0,68.31134232111505
Timóteo,MG,89842,23.79,1.0,3,89.42,0.0,3.98,5,0.77,4.0,68.29975016950783
Itapecerica da Serra,SP,175693,11.24,1.0,3,88.56,0.0,5.51,4,0.742,4.0,68.28692957286796
Santa Isabel,SP,57386,14.42,1.0,3,85.99,0.0,7.13,5,0.738,4.0,68.2837153762129
Pelotas,RS,342405,24.15,1.0,6,64.21,0.0,4.23,5,0.739,4.0,68.27085310173769
Cajamar,SP,76801,12.35,1.0,3,82.37,0.0,4.89,5,0.728,4.0,68.23895565075105
São José,SC,246586,16.95,1.0,5,95.63,0.0,2.34,0,0.809,4.0,68.23448042730503
Guanambi,BA,84481,27.8,1.0,8,72.58,0.0,14.59,5,0.673,4.0,68.19747353669132
Canoas,RS,346616,44.36,1.0,6,88.68,0.0,2.59,5,0.75,4.0,68.18960705054721
Bom Despacho,MG,50605,22.16,1.0,3,92.64,0.0,6.18,5,0.75,4.0,68.18399534541145
Rio Grande,RS,211005,19.17,1.0,6,55.14,0.0,4.38,5,0.744,4.0,68.1805293383142
Ubá,MG,115552,13.37,1.0,3,94.14,0.0,5.35,4,0.724,4.0,68.15297223099012
Amparo,SP,72195,5.65,1.0,1,89.02,0.0,4.45,4,0.785,4.0,68.02884312653028
Congonhas,MG,54762,24.37,1.0,3,91.63,0.0,4.43,5,0.753,4.0,68.0080700856399
Marechal Cândido Rondon,PR,52944,23.39,1.0,3,85.12,0.0,4.17,5,0.774,4.0,67.98829199635193
Lajeado,RS,84014,30.31,1.0,6,69.72,0.0,2.52,4,0.778,4.0,67.98040614705009
Erechim,RS,105862,25.27,1.0,3,95.92,0.0,3.31,4,0.776,4.0,67.95280044155801
Ponte Nova,MG,59742,28.24,1.0,4,95.56,0.0,6.19,5,0.717,4.0,67.94322411340755
Farroupilha,RS,72331,21.72,1.0,4,78.81,0.0,2.73,4,0.777,4.0,67.92546358771393
Parnaíba,PI,153078,23.97,1.0,6,84.12,0.0,15.82,5,0.687,4.0,67.91100707219508
Recife,PE,1645727,41.03,1.0,6,80.69,0.0,6.9,5,0.772,4.0,67.89604925300425
Atibaia,SP,142761,4.33,1.0,3,68.57,0.0,4.92,4,0.765,4.0,67.85105621450471
Vila Velha,ES,493838,33.57,1.0,4,80.95,0.0,3.64,5,0.8,4.0,67.79687466581888
Três Corações,MG,79482,25.49,1.0,3,95.29,0.0,7.24,5,0.744,4.0,67.70892780830334
Bento Gonçalves,RS,120454,29.77,1.0,7,93.83,0.0,2.14,0,0.778,4.0,67.68376256687888
Lucas do Rio Verde,MT,65534,35.33,1.0,3,98.96,0.0,2.43,5,0.768,4.0,67.67912797666587
Guarujá,SP,320459,14.36,1.0,3,74.12,0.0,4.93,5,0.751,4.0,67.60749657347364
Ponta Grossa,PR,351736,23.16,1.0,5,60.9,0.0,3.65,5,0.763,4.0,67.57159486625841
Andradina,SP,57157,20.94,1.0,4,67.37,0.0,6.01,5,0.779,4.0,67.55922304828735
Lorena,SP,88706,30.83,1.0,3,92.77,0.0,3.65,5,0.766,4.0,67.53874559085335
Novo Hamburgo,RS,246748,25.29,1.0,3,88.27,0.0,3.22,5,0.747,4.0,67.52252352371173
Gaspar,SC,69639,9.06,1.0,3,59.77,0.0,2.41,5,0.765,4.0,67.51583513914754
Avaré,SP,90655,6.75,1.0,4,95.46,0.0,4.61,0,0.767,4.0,67.43528677641899
São Joaquim da Barra,SP,51888,1.98,1.0,3,99.34,0.0,4.05,0,0.762,4.0,67.38121073374099
São Roque,SP,91016,4.57,1.0,5,80.45,0.0,4.6,0,0.768,4.0,67.35705998125447
Apucarana,PR,134996,19.76,1.0,3,90.9,0.0,6.11,4,0.748,4.0,67.32617151732506
Cachoeiro de Itapemirim,ES,208972,25.67,1.0,3,88.92,0.0,5.77,5,0.746,4.0,67.23366024708321
Goiânia,GO,1516113,41.83,1.0,3,97.87,0.0,3.1,5,0.799,4.0,67.2236398732828
Rio Grande da Serra,SP,50846,14.33,1.0,3,70.07,0.0,4.5,5,0.749,4.0,67.19851138459072
Parintins,AM,114273,26.62,1.0,4,98.13,0.0,5.83,5,0.658,4.0,67.15835077981134
Campo Mourão,PR,94859,24.59,1.0,3,94.76,0.0,6.99,4,0.757,4.0,67.1087226765492
Jaú,SP,150252,5.52,1.0,3,98.56,0.0,4.34,0,0.778,4.0,67.10227262999362
Vargem Grande Paulista,SP,52597,14.13,1.0,3,84.87,0.0,5.59,3,0.77,4.0,67.09976786054685
Palhoça,SC,171797,10.53,1.0,3,60.97,0.0,3.73,5,0.757,4.0,67.09637175711686
Ourinhos,SP,113542,5.4,1.0,3,98.67,0.0,4.72,0,0.778,4.0,67.09027088958479
Alegrete,RS,73589,11.5,1.0,3,67.91,0.0,5.53,5,0.74,4.0,67.08494598334694
Quirinópolis,GO,50065,37.54,1.0,4,98.67,0.0,9.14,5,0.74,4.0,67.07331729947194
Nova Odessa,SP,60174,6.96,1.0,3,96.31,0.0,3.47,0,0.791,4.0,67.04400634316929
Três Lagoas,MS,121388,27.69,1.0,7,47.36,0.0,6.07,5,0.744,4.0,67.04066258928586
Governador Valadares,MG,279885,39.33,1.0,5,90.59,0.0,7.2,5,0.727,4.0,67.00690685234815
Paranavaí,PR,88374,18.32,1.0,3,72.16,0.0,6.22,5,0.763,4.0,66.94657350324644
Taquara,RS,57466,15.68,1.0,3,74.29,0.0,4.41,5,0.727,4.0,66.94385006415041
